fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,600.0,0.75,48,120,35,14.5,150.8,card,823,1250.9,8921.3,6894.7,2,8,TE,68,0,RF,1,0,18,1,300.0,0,WEB,2.5,iOS,1,2,0,10
0,5743.00,0.92,36,12,38,25.00,75.29,VISA,789,1234.56,6789.01,9012.34,2,5,NV,680,0,WA,1,0,24,1,2500.00,0,MOBILE,21.5,iOS,0,2,1,1
0,6234.56,0.9123456789,36,12,45,1.5,-50.2,DC,1000,1234.56,3456.78,5678.90,2,5,EM,700,0,RM,1,0,-2,1,1000.0,0,MOBILE,60.0,Android,1,3,0,2
1,6234.56,0.987654321,36,12,35,7.234567890,-250.789,card,90210,2233.456,4567.890,7890.123,2,10,Employed,78,0,Owned,1,0,6,1,1000.0,0,WEB,25.567,Android,0,2,1,3
1,6543.21,0.7890123456789012,12,24,45,7.345678901234567,250.0,VISA,90210,1234.56,5678.90,9012.34,3,5,SALES,680,0,RURAL,1,0,6,1,1000.50,0,MOBILE,15.234,IOS,1,2,0,10
1,69999.85,0.987654321,36,12,55,1.5,-500.2,ACH,77002,1234.56,8901.23,9876.54,10,5,NV,720,0,WA,1,0,6,1,1000.0,0,MOBILE,15.7,Android,0,2,1,10
0,2779.93,0.6475899529965802,36,120,35,12.549255299153546,150.85417348609952,VISA,6061,18754.862729743148,6868.462861344437,7290.823946630941,3,2,RE,72,0,MR,1,0,18,1,800.0,1,MOBILE,28.34927545125638,Android,1,2,0,10
0,765.23,0.95,12,30,35,1.5,-150.75,debit,20987,12345.67,67890.12,54321.09,3,5,Employed,680,0,Owned,1,0,6,1,5000.0,0,WEB,15.2,Android,1,2,0,9
1,5234.56,0.7891234567890123,12,6,45,3.141592653589793,120.87,VISA,90210,1500.2,1505.7,2000.0,3,5,TELLER,680,0,RENTAL,1,1,18,1,500.0,0,WEB,25.5,iOS,1,2,0,7
0,4528.85,0.6789,12,36,28,30.1234,-123.45,VISA,90210,1234.56,2345.67,3456.78,8,5,FT,700,1,SF,1,1,18,0,5000.0,0,MOBILE,60.0,iOS,1,2,0,10
1,32500.0,0.8234,12,6,35,7.2159,150.789,card,90210,1234.56,1500.78,2000.00,3,2,CE,70,0,A,1,0,18,0,500.0,1,MOBILE,15.3,iOS,1,3,0,1
